title,sell_price,orig_price,rating,num_ratings
Haier 256 L Frost Free Double Door Bottom Mount 3 Star Convertible Refrigerator,"₹29,999","₹46,499",4,26 Ratings & 3 Reviews
SAMSUNG 394 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹39,400","₹55,990",4.8,5 Ratings & 0 Reviews
Haier 346 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹36,990","₹71,300",4.8,4 Ratings & 2 Reviews
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,"₹18,790","₹25,250",4.4,"3,313 Ratings & 359 Reviews"
Whirlpool 245 L Frost Free Double Door 3 Star Refrigerator,"₹23,490","₹29,700",4.2,274 Ratings & 34 Reviews
Whirlpool 190 L Direct Cool Single Door 4 Star Refrigerator  with Intellisense Inverter Compressor,"₹14,990","₹20,850",4.3,"13,439 Ratings & 1,417 Reviews"
"LG 694 L Frost Free Side by Side Refrigerator  with Smart Inverter DoorCooling+, Hygiene Fresh+, Expre...","₹99,990","₹1,32,199",,
BOSCH 559 L Frost Free Double Door 2 Star Refrigerator,"₹68,490","₹93,490",4.3,20 Ratings & 2 Reviews
Godrej 240 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹18,490","₹25,000",4.3,"1,326 Ratings & 174 Reviews"
LG 260 L Direct Cool Double Door 2 Star Refrigerator,"₹27,490","₹32,990",4.4,36 Ratings & 1 Reviews
,,,,
,,,,
LG 260 L Direct Cool Double Door 2 Star Refrigerator,"₹27,490","₹32,990",4.4,36 Ratings & 1 Reviews
BOSCH 559 L Frost Free Double Door 2 Star Refrigerator,"₹68,490","₹93,490",4.3,20 Ratings & 2 Reviews
SAMSUNG 192 L Direct Cool Single Door 1 Star Refrigerator,"₹12,490","₹14,990",4.2,"5,285 Ratings & 479 Reviews"
Whirlpool 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Auto Defrost,"₹18,790","₹25,250",4.4,"3,313 Ratings & 359 Reviews"
Godrej 190 L Direct Cool Single Door 5 Star Refrigerator,"₹16,990","₹21,000",4.4,"4,836 Ratings & 563 Reviews"
BOSCH 290 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹31,990","₹45,190",4.4,166 Ratings & 27 Reviews
LG 215 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Fast Ice Making,"₹17,990","₹26,099",4.5,12 Ratings & 0 Reviews
Godrej 240 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹18,490","₹25,000",4.3,"1,326 Ratings & 174 Reviews"
LG 260 L Frost Free Double Door 2 Star Convertible Refrigerator  with Convertible Refrigerator,"₹23,990","₹33,299",4.4,981 Ratings & 83 Reviews
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,990","₹24,200",4.4,"3,313 Ratings & 359 Reviews"
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹14,990","₹17,990",4.4,"5,065 Ratings & 449 Reviews"
Haier 276 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,990","₹47,600",4.4,"3,706 Ratings & 352 Reviews"
MarQ by Flipkart 190 L Direct Cool Single Door 3 Star Refrigerator,"₹10,990","₹15,990",4.2,"1,183 Ratings & 159 Reviews"
realme TechLife 280 L Frost Free Double Door 2 Star Refrigerator,"₹19,990","₹31,490",4.3,469 Ratings & 81 Reviews
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹21,990","₹30,450",4.3,189 Ratings & 10 Reviews
LG 204 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹20,490","₹24,799",,
MarQ by Flipkart 190 L Direct Cool Single Door 3 Star Refrigerator,"₹11,490","₹15,990",4.2,"1,183 Ratings & 159 Reviews"
Haier 630 L Frost Free Side by Side Convertible Refrigerator,"₹69,990","₹1,31,900",4.6,12 Ratings & 1 Reviews
Whirlpool 200 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,290","₹19,700",4.4,"9,347 Ratings & 1,062 Reviews"
Whirlpool 292 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹29,490","₹40,050",4.3,"27,687 Ratings & 2,966 Reviews"
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator  with Glass Door,"₹27,190","₹27,400",4.4,"2,226 Ratings & 252 Reviews"
Godrej 255 L Frost Free Double Door 2 Star Refrigerator,"₹21,490","₹22,900",4.3,658 Ratings & 68 Reviews
Whirlpool 300 L Frost Free Triple Door Refrigerator,"₹31,990","₹43,000",4.4,"30,339 Ratings & 3,760 Reviews"
Whirlpool 265 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹26,990","₹35,650",4.3,"27,687 Ratings & 2,966 Reviews"
,,,,
,,,,
SAMSUNG 253 L Frost Free Double Door 2 Star Refrigerator with Base Drawer,"₹26,900","₹31,990",4.5,220 Ratings & 25 Reviews
SAMSUNG 275 L Frost Free Double Door 3 Star Refrigerator,"₹27,390","₹34,990",4.3,"1,502 Ratings & 132 Reviews"
LG 260 L Frost Free Double Door 3 Star Refrigerator,"₹26,990","₹35,690",4.4,428 Ratings & 44 Reviews
"LG 190 L Direct Cool Single Door 5 Star Refrigerator  with Smart Inverter With Smart Connect, Moist 'N...","₹17,490","₹23,299",4.2,6 Ratings & 0 Reviews
LG 308 L Frost Free Double Door 2 Star Refrigerator,"₹30,429","₹38,590",4.2,13 Ratings & 2 Reviews
SAMSUNG 314 l Frost Free Double Door 2 Star Convertible Refrigerator  with with Curd Maestro,"₹33,290","₹42,990",4.3,305 Ratings & 33 Reviews
SAMSUNG 198 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,699","₹21,990",4.5,"1,012 Ratings & 141 Reviews"
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,100","₹17,490",4.5,49 Ratings & 1 Reviews
Whirlpool 200 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹20,359","₹22,250",4.4,"9,347 Ratings & 1,062 Reviews"
"LG 215 L Direct Cool Single Door 5 Star Refrigerator  with Smart Inverter With Smart Connect , Moist '...","₹19,790","₹27,999",4.4,8 Ratings & 1 Reviews
LG 284 L Frost Free Double Door 2 Star Refrigerator,"₹26,440","₹37,399",4.3,30 Ratings & 2 Reviews
LG 423 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹49,990","₹67,999",4.2,15 Ratings & 5 Reviews
Whirlpool 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,990","₹25,150",4.4,"9,347 Ratings & 1,062 Reviews"
LG 190 L Direct Cool Single Door 3 Star Refrigerator,"₹14,990","₹21,199",4.6,38 Ratings & 2 Reviews
SAMSUNG 230 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹18,900","₹23,990",,
LG 45 L Direct Cool Single Door 2 Star Refrigerator,"₹7,965","₹10,190",4.1,588 Ratings & 73 Reviews
SAMSUNG 192 L Direct Cool Single Door 3 Star Refrigerator,"₹16,100","₹18,490",4.5,51 Ratings & 4 Reviews
Whirlpool 265 L Frost Free Double Door 2 Star Refrigerator,"₹23,990","₹30,550",4.3,"13,763 Ratings & 1,640 Reviews"
LG 204 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,990","₹26,000",4.1,7 Ratings & 0 Reviews
